391         10.0.2.15   55143   3.120.68.56 1883    MQTT    96  Subscribe Request (id=1) [factory/department3/section2/plc],Subscribe Request (id=1) [factory/department3/section2/plc] 
395         10.0.2.15   55143   3.120.68.56 1883    MQTT    100 Subscribe Request (id=2) [factory/department1/section2/deposit],Subscribe Request (id=2) [factory/department1/section2/deposit] 
403         10.0.2.15   55143   3.120.68.56 1883    MQTT    188 Publish Message (id=3) [factory/department1/section3/deposit],Publish Message (id=3) [factory/department1/section3/deposit] 7b226964223a202253656e736f722035222c202276616c7565223a20312c20226c6174223a2035302c20226c6e67223a2035302c2022756e6974223a202243222c202274797065223a202274656d7065726174757265227d
412         127.0.0.1   41869   127.0.0.1   1883    MQTT    201 Publish Message (id=1) [factory/department2/section3/deposit],Publish Message (id=1) [factory/department2/section3/deposit] 7b226964223a202253656e736f722035222c202276616c7565223a2034332c20226c6174223a2035302c20226c6e67223a2035302c2022756e6974223a202243222c202274797065223a202274656d7065726174757265227d
452         10.0.2.15   55625   3.120.68.56 1883    MQTT    70  Connect Command,Connect Command 
460         10.0.2.15   55625   3.120.68.56 1883    MQTT    107 Subscribe Request (id=1) [factory/department1/section4/hydraulic_valve],Subscribe Request (id=1) [factory/department1/section4/hydraulic_valve] 
466         10.0.2.15   55625   3.120.68.56 1883    MQTT    241 Subscribe Request (id=2) [factory/department2/section3/deposit], Publish Message [factory/department1/section3/hydraulic_valve],Subscribe Request (id=2) [factory/department2/section3/deposit], Publish Message [factory/department1/section3/hydraulic_valve] 7b226964223a20224163747561746f722031222c202276616c7565223a2034332c20226c6174223a203134332c20226c6e67223a203130322c2022756e6974223a20226d222c202274797065223a2022726f626f7469632061726d227d
469         18.185.199.22   1883    10.0.2.15   43541   MQTT    114 Connect Ack,Connect Ack 
474         127.0.0.1   49439   127.0.0.1   1883    MQTT    99  Connect Command,Connect Command 
477         127.0.0.1   1883    127.0.0.1   49439   MQTT    72  Connect Ack,Connect Ack 
480         127.0.0.1   49439   127.0.0.1   1883    MQTT    119 Subscribe Request (id=1) [factory/department2/section3/hydraulic_valve],Subscribe Request (id=1) [factory/department2/section3/hydraulic_valve] 
481         127.0.0.1   1883    127.0.0.1   49439   MQTT    73  Subscribe Ack (id=1),Subscribe Ack (id=1)   
484         127.0.0.1   49439   127.0.0.1   1883    MQTT    209 Publish Message (id=2) [factory/department3/section4/hydraulic_valve],Publish Message (id=2) [factory/department3/section4/hydraulic_valve] 7b226964223a202253656e736f7220313239222c202276616c7565223a2034342c20226c6174223a2031302c20226c6e67223a2031302c2022756e6974223a202268756d222c202274797065223a20226d6f697374757265227d
486         127.0.0.1   1883    127.0.0.1   49439   MQTT    72  Publish Received (id=2),Publish Received (id=2) 
492         18.185.199.22   1883    10.0.2.15   43541   MQTT    62  Subscribe Ack (id=1),Subscribe Ack (id=1)   
501         18.185.199.22   1883    10.0.2.15   43541   MQTT    62  Publish Received (id=2),Publish Received (id=2) 
520         10.0.2.15   42005   18.185.199.22   1883    MQTT    71  Connect Command,Connect Command 
524         10.0.2.15   42005   18.185.199.22   1883    MQTT    188 Publish Message (id=1) [factory/department1/section1/plc],Publish Message (id=1) [factory/department1/section1/plc] 7b226964223a20224163747561746f722031222c202276616c7565223a20342c20226c6174223a203134332c20226c6e67223a203130322c2022756e6974223a20226d222c202274797065223a2022726f626f7469632061726d227d
526         18.185.199.22   1883    10.0.2.15   43541   MQTT    190 Publish Message (id=51) [factory/department2/section5/plc],Publish Message (id=51) [factory/department2/section5/plc]   7b226964223a20224163747561746f722032222c202276616c7565223a203230362c20226c6174223a203130302c20226c6e67223a203134302c2022756e6974223a202243222c202274797065223a202274656d7065726174757265227d
538         127.0.0.1   43907   127.0.0.1   1883    MQTT    181 Connect Command,Connect Command 
540         127.0.0.1   1883    127.0.0.1   43907   MQTT    72  Connect Ack,Connect Ack 
544         10.0.2.15   47047   3.120.68.56 1883    MQTT    133 Connect Command,Connect Command 
552         10.0.2.15   47047   3.120.68.56 1883    MQTT    107 Subscribe Request (id=1) [factory/department3/section1/hydraulic_valve],Subscribe Request (id=1) [factory/department3/section1/hydraulic_valve] 
556         127.0.0.1   43907   127.0.0.1   1883    MQTT    111 Subscribe Request (id=1) [factory/department1/section1/deposit],Subscribe Request (id=1) [factory/department1/section1/deposit] 
558         127.0.0.1   1883    127.0.0.1   43907   MQTT    73  Subscribe Ack (id=1),Subscribe Ack (id=1)   
561         10.0.2.15   47047   3.120.68.56 1883    MQTT    95  Subscribe Request (id=2) [factory/department2/section5/plc],Subscribe Request (id=2) [factory/department2/section5/plc] 
565         10.0.2.15   47047   3.120.68.56 1883    MQTT    99  Subscribe Request (id=3) [factory/department1/section3/deposit],Subscribe Request (id=3) [factory/department1/section3/deposit] 
569         10.0.2.15   47047   3.120.68.56 1883    MQTT    194 Publish Message [factory/department3/section1/hydraulic_valve],Publish Message [factory/department3/section1/hydraulic_valve]   7b226964223a202253656e736f722031222c202276616c7565223a2034322c20226c6174223a2031302c20226c6e67223a2031302c2022756e6974223a202243222c202274797065223a202274656d7065726174757265227d
572         3.120.68.56 1883    10.0.2.15   55143   MQTT    120 Connect Ack, Subscribe Ack (id=1),Connect Ack, Subscribe Ack (id=1) 
576         3.120.68.56 1883    10.0.2.15   55143   MQTT    193 Publish Message [factory/department3/section2/plc], Subscribe Ack (id=2), Publish Received (id=3),Publish Message [factory/department3/section2/plc], Subscribe Ack (id=2), Publish Received (id=3) 7b226964223a202253656e736f722033222c202276616c7565223a20333132352c20226c6174223a2039302c20226c6e67223a2031302c2022756e6974223a20222f25222c202274797065223a202268756d6964697479227d
585         127.0.0.1   43907   127.0.0.1   1883    MQTT    206 Publish Message [factory/department3/section2/hydraulic_valve],Publish Message [factory/department3/section2/hydraulic_valve]   7b226964223a202253656e736f722035222c202276616c7565223a2031392c20226c6174223a2035302c20226c6e67223a2035302c2022756e6974223a202243222c202274797065223a202274656d7065726174757265227d
595         127.0.0.1   45283   127.0.0.1   1883    MQTT    97  Connect Command,Connect Command 
598         127.0.0.1   1883    127.0.0.1   45283   MQTT    72  Connect Ack[Malformed Packet],Connect Ack[Malformed Packet] 
604         127.0.0.1   45283   127.0.0.1   1883    MQTT    204 Publish Message [factory/department3/section3/deposit],Publish Message [factory/department3/section3/deposit]   7b226964223a20224163747561746f722032222c202276616c7565223a203335362c20226c6174223a203130302c20226c6e67223a203134302c2022756e6974223a202243222c202274797065223a202274656d7065726174757265227d
618         127.0.0.1   57663   127.0.0.1   1883    MQTT    123 Connect Command,Connect Command 
620         127.0.0.1   1883    127.0.0.1   57663   MQTT    72  Connect Ack,Connect Ack 
633         127.0.0.1   57663   127.0.0.1   1883    MQTT    111 Subscribe Request (id=1) [factory/department2/section2/deposit],Subscribe Request (id=1) [factory/department2/section2/deposit] 
636         127.0.0.1   1883    127.0.0.1   57663   MQTT    73  Subscribe Ack (id=1),Subscribe Ack (id=1)   
637         127.0.0.1   57663   127.0.0.1   1883    MQTT    107 Subscribe Request (id=2) [factory/department3/section5/plc],Subscribe Request (id=2) [factory/department3/section5/plc] 
638         127.0.0.1   1883    127.0.0.1   57663   MQTT    73  Subscribe Ack (id=2),Subscribe Ack (id=2)   
641         127.0.0.1   57663   127.0.0.1   1883    MQTT    176 Publish Message (id=3) [home/floor2],Publish Message (id=3) [home/floor2]   7b226964223a202253656e736f7220313534222c202276616c7565223a2032382c20226c6174223a2031302c20226c6e67223a2031302c2022756e6974223a202243222c202274797065223a202274656d7065726174757265227d
642         127.0.0.1   1883    127.0.0.1   57663   MQTT    72  Publish Received (id=3),Publish Received (id=3) 
643         3.120.68.56 1883    10.0.2.15   55625   MQTT    62  Connect Ack,Connect Ack 
645         3.120.68.56 1883    10.0.2.15   55625   MQTT    62  Subscribe Ack (id=1),Subscribe Ack (id=1)   
647         3.120.68.56 1883    10.0.2.15   55625   MQTT    62  Subscribe Ack (id=2),Subscribe Ack (id=2)   
